,Group,X,Y,Z,Z_MAD,U,U_MAD,V,V_MAD,W,W_MAD,Memberships,Number of stars
49,49,-14.916643529600137,-37.95573447536757,14.562121002400884,22.417784355932888,25.55042632659935,3.595400332557837,-8.634882503196017,2.8529476487071657,11.374686435939076,3.989274561955155,"{'FIELD': 2, 'NOT FOUND IN DB': 15}",17
50,50,-38.35782996856783,14.86599634395582,59.27002256574292,24.679861831469687,25.44936413769962,3.100454871152663,-37.62261096369815,1.672885163555724,-17.333462958073035,3.561187627903694,{'NOT FOUND IN DB': 21},21
51,51,112.37064264195456,-35.89662055853016,-7.278614070428282,37.002190622248,-19.981572666044933,2.203901622984396,-45.51903547611597,2.464946135583202,-14.679881742920031,1.5198525169872537,"{'FIELD': 1, 'NOT FOUND IN DB': 15}",16
52,52,-15.600747039545787,8.094485042108793,-54.5902600237501,31.93229260945198,-38.396246783087456,1.952453077817034,-38.648414321261946,1.0865395961970674,-18.425001384033003,1.893516240196363,{'NOT FOUND IN DB': 11},11
53,53,-46.36379535999179,14.724308891126608,-58.95785075718828,31.65565842555798,-21.023929726475977,2.5985393103918275,-40.37125403043358,1.7573164391387903,-17.460372189405675,3.652847786993332,{'NOT FOUND IN DB': 33},33
54,54,-17.98795960251723,3.7250196006066822,58.74372193988596,33.30582584047535,-23.11581592503948,2.320647328891531,-39.59991871004165,1.1540159017380272,-15.66503858006076,0.922475741124856,{'NOT FOUND IN DB': 13},13
55,55,41.73438941269106,12.254976016172671,32.03849860894009,18.34982365879724,-17.235230252592388,2.5221259239001164,-38.83624102395314,1.6086566702155938,-17.76956923369145,2.5210699754189427,{'NOT FOUND IN DB': 18},18
56,56,-25.642861366065343,63.52551627797369,-65.98373439727747,30.69630109394905,-52.913560933288494,1.408412692734896,-37.60066762492581,1.7143693993102749,-14.413240552123122,2.1810966857735767,{'NOT FOUND IN DB': 18},18
57,57,30.78346345817208,-32.49126373187914,2.4303968797297766,21.136817516675737,-53.77984787663584,4.081253322643667,-37.30896415225536,0.9842158606702952,-16.939793517661837,4.66595285241782,"{'FIELD': 1, 'NOT FOUND IN DB': 24}",25
58,58,50.0563757032795,102.2794350302963,-106.14421266567126,19.3196342124204,-33.40761480285104,1.5185684773987635,-46.27963322248764,2.632968219682969,-10.156221922761068,2.0272966920438584,{'NOT FOUND IN DB': 10},10
59,59,81.36179593781935,-57.88910630639924,-85.98956871138878,8.117715229269432,-32.08726478149323,4.120864415008012,-45.65466890353287,1.7219557075132348,-17.693265992174307,2.3577111695887982,{'NOT FOUND IN DB': 13},13
60,60,35.760480211836374,-24.013718328357196,-67.25512553302175,11.818930286177617,-17.668212398651463,4.082774943957706,-48.43794071344841,1.136527828659996,-10.031326043346048,2.825361077876922,{'NOT FOUND IN DB': 10},10
61,61,-6.472713619073583,37.85467911509018,-1.1740312577692025,28.50110153783069,-30.446620714207032,2.5747202690600988,-48.1759953842789,1.609398427700801,-2.7631964659247896,8.331334926078187,"{'FIELD': 2, 'NOT FOUND IN DB': 23, 'PRA': 1}",26
62,62,4.038303592678622,-25.11492221128894,69.22841261160865,9.908561673797228,-28.122925353250046,2.223934380569493,-49.43612951804626,1.4190184634398697,-13.794409925186406,2.8746944445025697,{'NOT FOUND IN DB': 10},10
63,63,-8.620575514021578,-12.958723413835443,-33.90764414578775,24.079753625527307,-29.35979600771958,1.5035167821009667,-49.44460876724234,2.3724397148986345,-15.461160515275957,2.7741882602778527,{'NOT FOUND IN DB': 16},16
64,64,24.451826486325285,-23.62830369972388,-6.443674126406392,41.8781087100489,-39.89618167170328,4.290328028887898,-47.95351558610251,1.8222307999724303,-3.242046145801973,3.140024148198837,"{'FIELD': 4, 'NOT FOUND IN DB': 78, 'TAUOR4': 1}",83
65,65,6.763661208643148,10.533533310743993,-1.2923955998792729,36.74163403970287,34.26772918553826,1.861740912161238,9.71147393018516,1.76824524316801,-5.417573901714177,6.999239312152467,"{'FIELD': 1, 'NOT FOUND IN DB': 22}",23
66,66,125.62613494204182,-75.8196717788212,21.502443792952192,39.32179184648646,-28.78510492703192,1.1475419300055492,-32.75416641737368,1.0867059624324509,-11.226515537440148,3.2866929684205224,"{'FIELD': 1, 'NOT FOUND IN DB': 16}",17
67,67,43.54125999265084,-93.54343421618944,27.056148993609085,38.64138938937465,-28.231740382486823,2.052975716691761,-36.82320820774141,2.891103819351137,-19.641100355533418,2.7427965716891816,{'NOT FOUND IN DB': 16},16
68,68,-44.86873329576979,-89.21254105237226,-3.3776863362539764,43.093311749410816,33.67393926365747,1.87210339342264,-22.24674348626566,1.8780014726215064,-10.349239167850325,4.50949116944936,"{'FIELD': 1, 'NOT FOUND IN DB': 23}",24
69,69,39.48536747644779,-62.47042827928105,-105.18039985631984,31.143838438290555,16.657520667003286,1.923450490986809,-21.775024890708178,2.048268234666064,7.884125256415075,1.170503469671844,{'NOT FOUND IN DB': 14},14
70,70,43.33641030332617,49.67764444802371,-67.19395345722094,32.90773568762375,38.86218515088551,2.70845376078934,-23.10490041068216,3.510837436271176,-6.239639995545816,1.0872931764265965,{'NOT FOUND IN DB': 10},10
71,71,-12.430018170265807,4.609240790534498,40.94730369972002,16.623954972651273,15.88452177869471,2.197917367514657,2.733452577543812,1.5391713328161856,14.606133455786765,0.45600384280768,{'NOT FOUND IN DB': 10},10
72,72,-5.7006218235589285,2.297868907933691,18.25517195308862,18.64359654986184,20.374474222032724,1.6710386966137911,-15.77184722227553,1.8010115256831876,9.529696575860129,1.434702999139652,{'NOT FOUND IN DB': 10},10
73,73,-1.153584226153133,26.697458196119,-27.83606893381325,108.44151939949067,17.388021060667615,3.512241721229441,-25.364097400372163,3.575392843340294,7.729515885755318,1.9527235058571453,{'NOT FOUND IN DB': 32},32
74,74,-11.453234223184442,-32.56348159151222,-7.948486131088916,27.74706691673716,32.57111968550904,1.1931185821605672,-19.46390860951669,1.2468372496207556,0.0140896034562885,0.8312276672213346,"{'FIELD': 1, 'NOT FOUND IN DB': 9}",10
75,75,-40.02356651444136,44.35611613350265,-113.50396322511013,35.683968016080925,31.044353748045207,1.0492912202632203,-5.968761410738771,0.9640816864255763,-13.631413403142586,1.936199113335086,{'NOT FOUND IN DB': 11},11
